names,links,category,profile_path
Diane von Furstenberg,https://en.wikipedia.org/wiki/Diane_von_F%C3%BCrstenberg,Occupation: Fashion designer,./Women_Profiles/Diane_von_Furstenberg
Ruth Bader Ginsburg,https://en.wikipedia.org/wiki/Ruth_Bader_Ginsburg,American lawyer and jurist,./Women_Profiles/Ruth_Bader_Ginsburg
Gwendolyn Brooks,https://en.wikipedia.org/wiki/Gwendolyn_Brooks,Occupation: Poet,./Women_Profiles/Gwendolyn_Brooks
Michelle Payne,https://en.wikipedia.org/wiki/Michelle_Payne,"Occupation: Jockey, trainer",./Women_Profiles/Michelle_Payne
Martha Stewart,https://en.wikipedia.org/wiki/Martha_Stewart,"Occupation: Businesswoman, writer, television personality",./Women_Profiles/Martha_Stewart
Eva Perón,https://en.wikipedia.org/wiki/Eva_Per%C3%B3n,wife of Argentine President Juan Perón (1895–1974) and First Lady of Argentina,./Women_Profiles/Eva_Perón
Edith Cavell,https://en.wikipedia.org/wiki/Edith_Cavell,British nurse,./Women_Profiles/Edith_Cavell
Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,Occupation: Student and  climate activist,./Women_Profiles/Greta_Thunberg
Coretta Scott-King,https://en.wikipedia.org/wiki/Coretta_Scott_King,"Occupation: Civil rights ,  women's rights ,  gay rights ,  human rights , and  equal rights   activist ; author",./Women_Profiles/Coretta_Scott-King
Vera Lynn,https://en.wikipedia.org/wiki/Vera_Lynn,English singer of traditional pop,./Women_Profiles/Vera_Lynn
Byron Katie,https://en.wikipedia.org/wiki/Byron_Katie,"Occupation: Author, speaker",./Women_Profiles/Byron_Katie
Helen Sharman,https://en.wikipedia.org/wiki/Helen_Sharman,Occupation: Chemist,./Women_Profiles/Helen_Sharman
Nina Simone,https://en.wikipedia.org/wiki/Nina_Simone,"Occupation(s): Singer 
 songwriter 
 musician 
 arranger 
 composer 
 activist",./Women_Profiles/Nina_Simone
Caroline Myss,https://en.wikipedia.org/wiki/Caroline_Myss,"Occupation: Teacher, author",./Women_Profiles/Caroline_Myss
Marie Stopes,https://en.wikipedia.org/wiki/Marie_Stopes,"Known for: Family planning ,  Eugenics",./Women_Profiles/Marie_Stopes
Marion Reid,https://en.wikipedia.org/wiki/Marion_Reid,Occupation: Teacher,./Women_Profiles/Marion_Reid
Sandi Toksvig,https://en.wikipedia.org/wiki/Sandi_Toksvig,"Occupation: Comedian, author, radio and television presenter, co-founder of  Women's Equality Party",./Women_Profiles/Sandi_Toksvig
Anna Freud,https://en.wikipedia.org/wiki/Anna_Freud,Occupation: Psychoanalyst,./Women_Profiles/Anna_Freud
